id,host_id,booking_id,name,city,state,zipcode,latitude,longitude,accommodates,beds,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,neighborhood_group_Ballard,neighborhood_group_Capitol Hill,neighborhood_group_Central Area,neighborhood_group_Downtown,neighborhood_group_Other,neighborhood_group_Other neighborhoods,neighborhood_group_Queen Anne,neighborhood_group_West Seattle,Other_neighborhood,property_type_Apartment,property_type_House,property_type_Other,# Bathrooms_Other,# Bathrooms_one,# Bathrooms_one and one half,# Bathrooms_two,# Bathrooms_two and one half,Bed Type_Other,Bed Type_Real Bed,# Bedrooms_Other,# Bedrooms_one,# Bedrooms_three,# Bedrooms_two,# Bedrooms_zero,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,cancellation policy_moderate,cancellation policy_strict
3994601,7354306,3527,Crayola Home Green Room-Bunk Bed 5,Seattle,WA,98112.0,47.62954292,-122.301695,1,1.0,f,f,f,20,2014-09-08,2015-11-27,94.0,9.0,9.0,10.0,10.0,10.0,10.0,1.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3994634,7354306,3612,Crayola Home Green room-Bunk Bed 6,Seattle,WA,98112.0,47.62951002,-122.3030752,1,1.0,f,f,f,25,2014-09-06,2015-11-12,90.0,9.0,9.0,9.0,10.0,9.0,9.0,1.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4710866,7354306,3526,Crayola Home - Purple Room Bunk 1,Seattle,WA,98112.0,47.6301117,-122.3019341,1,1.0,f,f,f,18,2015-03-02,2015-12-22,94.0,10.0,10.0,10.0,10.0,10.0,9.0,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4710869,7354306,3627,Crayola Home - Purple Room Bunk 2,Seattle,WA,98112.0,47.63040705,-122.3014901,1,1.0,f,f,f,14,2015-03-30,2015-12-19,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4725935,7354306,2681,Capitol Hill Excursion Part four,Seattle,WA,98102.0,47.62335267,-122.3230689,1,1.0,f,f,f,44,2014-12-10,2015-12-25,90.0,9.0,9.0,10.0,10.0,10.0,9.0,3.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6545246,1243056,2688,Io Annex (bunk 1L) - SLU walkable,Seattle,WA,98122.0,47.62528522,-122.3200901,1,1.0,f,f,f,1,2015-09-01,2015-09-01,80.0,10.0,8.0,4.0,6.0,8.0,8.0,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6545602,1243056,2683,Io Annex (bunk 1U) - SLU walkable,Seattle,WA,98102.0,47.62362134,-122.3195299,1,1.0,f,f,f,1,2015-09-25,2015-09-25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6561753,1243056,2686,Io Annex (bunk 2L) - SLU walkable,Seattle,WA,98102.0,47.62365295,-122.3209043,1,1.0,f,f,f,10,2015-06-15,2015-10-27,96.0,9.0,9.0,9.0,9.0,10.0,10.0,1.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6561811,1243056,2687,Io Annex (bunk 2U) - SLU walkable,Seattle,WA,98102.0,47.62412433,-122.3199755,1,1.0,f,f,f,5,2015-06-30,2015-09-01,92.0,8.0,9.0,8.0,10.0,10.0,9.0,0.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6591894,7354306,3608,Crayola Home - Purple Room Bunk 4,Seattle,WA,98112.0,47.6308785,-122.3036646,1,1.0,f,f,f,16,2015-07-13,2015-11-28,95.0,10.0,9.0,10.0,10.0,9.0,10.0,2.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
