id,host_id,booking_id,name,neighbourhood_group,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
3732076,1243056,396,Lake Union Hacker House - 1FL 4p 1L,Other neighborhoods,Seattle,WA,98103,47.64989806,-122.3312562,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,7,2014-08-09,2015-05-04,94,9,8,10,9,9,10,0.41
3732094,1243056,390,Lake Union Hacker House - 3FL 4p 1L,Other neighborhoods,Seattle,WA,98103,47.65084966,-122.3329107,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,5,2014-08-15,2015-09-29,88,8,7,9,9,9,9,0.3
3732103,1243056,351,Lake Union Hacker House - 2FL 4p 1U,Other neighborhoods,Seattle,WA,98103,47.65021119,-122.3320348,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,6,2014-08-10,2015-09-02,93,9,8,9,10,9,10,0.35
3811828,7354306,3529,Crayola Home Green Room-Bunk Bed 3,Capitol Hill,Seattle,WA,98112,47.63146986,-122.3018807,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,19,2014-08-10,2015-11-02,94,9,9,10,10,10,10,1.11
3811872,7354306,3630,Crayola Home Green Room-Bunk Bed 4,Capitol Hill,Seattle,WA,98112,47.63033031,-122.3017078,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,20,2014-08-25,2015-12-12,85,8,8,9,9,9,8,1.2
3811930,7354306,3531,Crayola Home Green Room -Bunk Bed 1,Capitol Hill,Seattle,WA,98112,47.63140078,-122.3030855,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,21,2014-08-10,2015-09-22,92,9,9,9,10,10,10,1.23
3811955,7354306,3561,Crayola Home Green Room-Bunk Bed 2,Capitol Hill,Seattle,WA,98112,47.63155653,-122.3019578,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,18,2014-09-07,2015-09-01,91,9,9,9,10,9,9,1.11
3888924,1243056,422,Lake Union Hacker House - 1FL 2p U,Other neighborhoods,Seattle,WA,98103,47.65127573,-122.3327965,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,3,2015-04-30,2015-12-05,87,8,7,9,10,9,8,0.36
3888986,1243056,436,Lake Union Hacker House - 2FL 2p L,Other neighborhoods,Seattle,WA,98103,47.65105573,-122.3309857,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,1,2015-08-08,2015-08-08,100,10,8,10,8,10,10,0.2
3889050,1243056,381,Lake Union Hacker House - 1FL 2p L,Other neighborhoods,Seattle,WA,98103,47.65158166,-122.3307967,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,3,2014-09-01,2015-09-11,80,7,6,9,10,9,8,0.18
3889280,1243056,379,Lake Union Hacker House - 2FL 2p U,Other neighborhoods,Seattle,WA,98103,47.6499608,-122.3327015,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
3889299,1243056,340,Lake Union Hacker House - 3FL 2p U,Other neighborhoods,Seattle,WA,98103,47.64985412,-122.3306848,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,2,2015-08-31,2015-09-05,90,8,8,10,10,10,10,0.47
3889330,1243056,341,Lake Union Hacker House - 1FL 4p 1U,Other neighborhoods,Seattle,WA,98103,47.65129392,-122.3310318,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,0,,,,,,,,,,
3994601,7354306,3527,Crayola Home Green Room-Bunk Bed 5,Capitol Hill,Seattle,WA,98112,47.62954292,-122.301695,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,20,2014-09-08,2015-11-27,94,9,9,10,10,10,10,1.24
3994634,7354306,3612,Crayola Home Green room-Bunk Bed 6,Capitol Hill,Seattle,WA,98112,47.62951002,-122.3030752,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,25,2014-09-06,2015-11-12,90,9,9,9,10,9,9,1.54
4710866,7354306,3526,Crayola Home - Purple Room Bunk 1,Capitol Hill,Seattle,WA,98112,47.6301117,-122.3019341,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,18,2015-03-02,2015-12-22,94,10,10,10,10,10,9,1.75
4710869,7354306,3627,Crayola Home - Purple Room Bunk 2,Capitol Hill,Seattle,WA,98112,47.63040705,-122.3014901,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,14,2015-03-30,2015-12-19,99,10,10,10,10,10,10,1.49
4725935,7354306,2681,Capitol Hill Excursion Part four,Capitol Hill,Seattle,WA,98102,47.62335267,-122.3230689,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,44,2014-12-10,2015-12-25,90,9,9,10,10,10,9,3.38
6545246,1243056,2688,Io Annex (bunk 1L) - SLU walkable,Capitol Hill,Seattle,WA,98122,47.62528522,-122.3200901,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,1,2015-09-01,2015-09-01,80,10,8,4,6,8,8,0.24
6545602,1243056,2683,Io Annex (bunk 1U) - SLU walkable,Capitol Hill,Seattle,WA,98102,47.62362134,-122.3195299,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,1,2015-09-25,2015-09-25,100,10,10,10,10,10,10,0.29
6561753,1243056,2686,Io Annex (bunk 2L) - SLU walkable,Capitol Hill,Seattle,WA,98102,47.62365295,-122.3209043,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,10,2015-06-15,2015-10-27,96,9,9,9,9,10,10,1.47
6561811,1243056,2687,Io Annex (bunk 2U) - SLU walkable,Capitol Hill,Seattle,WA,98102,47.62412433,-122.3199755,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,5,2015-06-30,2015-09-01,92,8,9,8,10,10,9,0.79
6591894,7354306,3608,Crayola Home - Purple Room Bunk 4,Capitol Hill,Seattle,WA,98112,47.6308785,-122.3036646,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,16,2015-07-13,2015-11-28,95,10,9,10,10,9,10,2.73
