id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
3300,$150.00 ,$900.00 ,"$3,800.00 ",1,$0.00 ,$250.00 ,$125.00 ,4,1125,t,0,0,0,223
3301,$475.00 ,,,6,$50.00 ,"$1,000.00 ",$175.00 ,4,365,t,30,60,90,365
3302,$375.00 ,,,5,$35.00 ,,$125.00 ,2,30,t,0,0,2,238
3303,$450.00 ,"$3,000.00 ",,6,$25.00 ,$500.00 ,$125.00 ,2,7,t,0,8,36,311
3304,$75.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,32
3305,$350.00 ,,,1,$0.00 ,$500.00 ,$100.00 ,2,4,t,5,32,62,333
3306,$75.00 ,$600.00 ,"$2,450.00 ",1,$25.00 ,$250.00 ,$35.00 ,3,365,t,29,59,89,364
3307,$119.00 ,$714.00 ,"$1,800.00 ",4,$10.00 ,$250.00 ,$30.00 ,2,1125,t,21,21,27,286
3308,$97.00 ,$600.00 ,"$2,200.00 ",4,$15.00 ,,$15.00 ,1,1125,t,4,21,51,110
3309,$125.00 ,$750.00 ,"$2,520.00 ",4,$25.00 ,$200.00 ,,2,31,t,0,28,57,57
3310,$200.00 ,"$1,350.00 ",,1,$0.00 ,$500.00 ,$20.00 ,1,1125,t,10,40,70,345
3311,$108.00 ,$704.00 ,"$2,573.00 ",4,$22.00 ,$300.00 ,$76.00 ,3,1125,t,22,49,73,73
3312,$49.00 ,$300.00 ,$800.00 ,0,$0.00 ,$150.00 ,$25.00 ,20,1125,t,30,60,90,365
3313,$125.00 ,$800.00 ,"$3,150.00 ",2,$40.00 ,$100.00 ,$25.00 ,2,1125,t,28,58,88,363
3314,$70.00 ,$350.00 ,,1,$0.00 ,,,1,1125,t,30,60,90,365
3315,$70.00 ,,,2,$10.00 ,,,1,10,t,0,0,0,0
